0.4971	4.986891261283392e-10
0.563	7.882526874375649e-10
0.569	8.178973751432743e-10
0.6006	9.863205275418935e-10
0.604	1.0053682716400644e-09
0.6103	1.0416180680979321e-09
0.621	1.1040562603706364e-09
0.635	1.1887345309909675e-09
0.662	1.361424817864931e-09
0.723	1.7975381586543821e-09
0.724	1.805223473085833e-09
0.756	2.0593328436786922e-09
0.757	2.068286954489706e-09
0.765	2.1349740066431377e-09
0.795	2.393130841539014e-09
0.801	2.447276414716457e-09
0.873	3.135930936189572e-09
0.996	4.50467054194352e-09
1.004	4.6022190222684e-09
1.038	5.024692737049619e-09
1.05	5.1801554830827195e-09
1.167	6.7789533768015864e-09
1.205	7.333811356228008e-09
1.246	7.94677544906864e-09
1.274	8.373261480732448e-09
1.365	9.795587701083487e-09
1.494	1.1875161647186509e-08
1.562	1.2991099814491843e-08
1.596	1.3547510053495473e-08
1.766	1.639025049903697e-08
1.797	1.692101099446973e-08
1.988	2.0231019437093962e-08
2.112	2.2407371522734944e-08
2.185	2.3665737438182843e-08
